,content,id,lat,location,lon,time,user,user_id
0,RT @BochCenter: Don't be Timothée... Check out our Facebook today until 5PM &amp; enter our ticket giveaway for a chance to win a family 4-pack…,971056198282702848,,UST - BLIS,,2018-03-06 16:13:33,colleencerbasmd,265960740
1,@th3m1ke Doing housecleaning and yes haha.,971056196533747712,,"Boston, MA",,2018-03-06 16:13:33,KJerzykPhoto,85522057
10,@Cashmont @THR oh man it's so good,971056184332611584,,"Boston, MA",,2018-03-06 16:13:30,HeyRatty,20189287
100,RT @HarvardHealth: CGRP: A new era for migraine treatment that's been sent to the FDA for approval: https://t.co/sQQNO7PPte #HarvardHealth…,971056096117952512,,,,2018-03-06 16:13:09,sonjano,50624713
1000,"RT @OnlyInBOS: Iceberg, a public floating art installation in Fort Point Channel, is a visual reminder of the effects of climate change in…",971055242321301504,,"Boston, MA",,2018-03-06 16:09:45,YozellAssoc,705057485523193856
1001,"RT @irishrygirl: Paul Ryan was cool with grabbing pussies, fine people on both sides, shit hole countries but absolutely puts his foot down…",971055242052747264,,"Kitchener, Ontario",,2018-03-06 16:09:45,raymond_shelley,1404971276
1002,@talkhoops The Jack one is the closest but I’ll still vote for the Dame Edition.,971055241285242880,,"Boston, MA",,2018-03-06 16:09:45,JaredWeissNBA,33816689
1003,"RT @melaninp0ppin: fight for it, always https://t.co/pMZDlLJdxn",971055239750213632,,Bo$ton ,,2018-03-06 16:09:45,ScreamTrisha,592288222
1004,Which #analytics work better for industrial companies? Share your views in the #AnalyticsThatMatter survey.… https://t.co/0M0vl622y7,971055238886150144,,"Cambridge, MA",,2018-03-06 16:09:44,LNSResearch,459402318
1005,"RT @GGTVDave: Martin Shkreli must forfeit $7.4 million, including infamous Wu Tang album  - CNNMoney https://t.co/YiySRcw8a4",971055238491918336,,"Dallas, Tx",,2018-03-06 16:09:44,ATGAllTymedaG,37234004
1007,Jim Halpert is coming for all you niggas https://t.co/9fC6I4ZDxR,971055235941715968,,"Boston, MA",,2018-03-06 16:09:44,youbzz_,305412247
1008,Tory Lanez album on repeat ✨,971055235467825152,,"Boston, MA",,2018-03-06 16:09:44,KristenFederico,331768043
1009,RT @emma_sandoe: Medicaid does not put food on a table or a roof over your head. Medicaid is not an incentive to not work.,971055234691760128,,UK,,2018-03-06 16:09:43,LunaCentifanti,249329330
101,"Merriam-Webster wants you to know what ""dumpster fire"" means https://t.co/WbvtwS0CXp",971056095539101696,,"Boston, MA",,2018-03-06 16:13:09,Boston_CP,70291924
1010,RT @MiralRaslan: ساعات كتير بنتمسك بالحاجات الغلط 😢 https://t.co/eY7ZScrJoD,971055234121428992,,,,2018-03-06 16:09:43,Ashrafellawendy,2899640843
1013,"RT @NESN: The Texans reportedly won't pursue free agents who knelt during the national anthem last season.
https://t.co/UgbKsWL33c https://…",971055229012717568,,"Houston, Tx",,2018-03-06 16:09:42,KevinSchreiber,107466567
1014,@realDonaldTrump Fuck Off you lazy lying orange faux piece of shit president.,971055228584947712,,"Boston, MA",,2018-03-06 16:09:42,jbr1264,891815057402847232
1015,RT @leahysean: Slumping Al Horford of #Celtics tells @SteveBHoop: ‘I’ll get it back going again’ https://t.co/T7GFFM5RJv https://t.co/YMFBI…,971055224805842944,,,,2018-03-06 16:09:41,DishmeyYeison,971000607418077184
1016,@openargs Link seems down for me as well,971055224642301952,,"Boston, MA",,2018-03-06 16:09:41,ExploringSkept,928281651800625152
1018,McAvoy out 4 weeks?! He was walking fine yesterday.,971055222838751232,,"Boston, MA",,2018-03-06 16:09:41,OnyxWitch,48197822
